,1-B4-needle-fungal,1-B4-stem-fungal,1-RS3-root-fungal,1-RS3-soil-fungal,10-B4-needle-fungal,10-B4-stem-fungal,10-RS3-root-fungal,10-RS3-soil-fungal,118-B4-needle-fungal,118-B4-stem-fungal,118-RS3-root-fungal,118-RS3-soil-fungal,119-B4-needle-fungal,119-B4-stem-fungal,119-RS3-root-fungal,119-RS3-soil-fungal,120-B4-needle-fungal,120-B4-stem-fungal,120-RS3-root-fungal,120-RS3-soil-fungal,123-B4-needle-fungal,123-B4-stem-fungal,123-RS3-root-fungal,123-RS3-soil-fungal,124-B4-needle-fungal,124-B4-stem-fungal,124-RS3-root-fungal,124-RS3-soil-fungal,130-B4-needle-fungal,130-B4-stem-fungal,130-RS3-root-fungal,130-RS3-soil-fungal,134-B4-needle-fungal,134-B4-stem-fungal,134-RS3-root-fungal,134-RS3-soil-fungal,138-B4-needle-fungal,138-B4-stem-fungal,138-RS3-root-fungal,138-RS3-soil-fungal,146-B4-needle-fungal,146-B4-stem-fungal,146-RS3-root-fungal,146-RS3-soil-fungal,148-B4-needle-fungal,148-B4-stem-fungal,148-RS3-root-fungal,148-RS3-soil-fungal,29-B4-needle-fungal,29-B4-stem-fungal,29-RS3-root-fungal,29-RS3-soil-fungal,3-B4-needle-fungal,3-B4-stem-fungal,3-RS3-root-fungal,3-RS3-soil-fungal,33-B4-needle-fungal,33-B4-stem-fungal,33-RS3-root-fungal,33-RS3-soil-fungal,34-B4-needle-fungal,34-B4-stem-fungal,34-RS3-root-fungal,34-RS3-soil-fungal,35-B4-needle-fungal,35-B4-stem-fungal,35-RS3-root-fungal,35-RS3-soil-fungal,36-B4-needle-fungal,36-B4-stem-fungal,36-RS3-root-fungal,36-RS3-soil-fungal,40-B4-needle-fungal,40-B4-stem-fungal,40-RS3-root-fungal,40-RS3-soil-fungal,41-B4-needle-fungal,41-B4-stem-fungal,41-RS3-root-fungal,41-RS3-soil-fungal,42-B4-needle-fungal,42-B4-stem-fungal,42-RS3-root-fungal,42-RS3-soil-fungal,49-B4-needle-fungal,49-B4-stem-fungal,49-RS3-root-fungal,49-RS3-soil-fungal,51-B4-needle-fungal,51-B4-stem-fungal,51-RS3-root-fungal,51-RS3-soil-fungal,58-B4-needle-fungal,58-B4-stem-fungal,58-RS3-root-fungal,58-RS3-soil-fungal,6-B4-needle-fungal,6-B4-stem-fungal,6-RS3-root-fungal,6-RS3-soil-fungal,61-B4-needle-fungal,61-B4-stem-fungal,61-RS3-root-fungal,61-RS3-soil-fungal,65-B4-needle-fungal,65-B4-stem-fungal,65-RS3-root-fungal,65-RS3-soil-fungal,7-B4-needle-fungal,7-B4-stem-fungal,7-RS3-root-fungal,7-RS3-soil-fungal,71-B4-needle-fungal,71-B4-stem-fungal,71-RS3-root-fungal,71-RS3-soil-fungal,73-B4-needle-fungal,73-B4-stem-fungal,73-RS3-root-fungal,73-RS3-soil-fungal,74-B4-needle-fungal,74-B4-stem-fungal,74-RS3-root-fungal,74-RS3-soil-fungal,84-B4-needle-fungal,84-B4-stem-fungal,84star-RS3-root-fungal,84star-RS3-soil-fungal,87-B4-needle-fungal,87-B4-stem-fungal,87-RS3-root-fungal,87-RS3-soil-fungal,88-B4-needle-fungal,88-B4-stem-fungal,88-RS3-root-fungal,88-RS3-soil-fungal,89-B4-needle-fungal,89-B4-stem-fungal,9-B4-needle-fungal,9-B4-stem-fungal,9-RS3-root-fungal,9-RS3-soil-fungal,91-B4-needle-fungal,91-B4-stem-fungal,91-RS3-root-fungal,91-RS3-soil-fungal,96-B4-needle-fungal,96-B4-stem-fungal,96-RS3-root-fungal,96-RS3-soil-fungal,97-B4-needle-fungal,97-B4-stem-fungal,97-RS3-root-fungal,97-RS3-soil-fungal,98-B4-needle-fungal,98-B4-stem-fungal,98-RS3-root-fungal-S16,98-RS3-root-fungal-S20,98-RS3-soil-fungal-S58,98-RS3-soil-fungal-S62
c386f1d16d6837d62d8a1382690c8612,2030,0,0,0,203,0,0,0,66,0,0,0,60,0,0,0,219,0,0,0,419,0,0,0,1502,0,0,0,23,0,0,0,430,0,0,0,35,0,0,0,1670,0,0,0,2882,0,0,0,168,0,0,0,292,0,0,0,6,0,0,0,477,0,0,0,202,0,0,0,38,0,0,0,243,0,0,0,136,0,0,0,524,0,0,0,469,0,0,0,24,0,0,0,85,0,0,0,11,0,0,0,90,0,0,0,140,0,0,0,690,0,0,0,19,0,0,0,357,0,0,0,459,0,0,0,173,0,0,0,32,0,0,0,8,0,0,0,135,0,60,0,0,0,155,0,0,0,452,0,0,0,648,0,0,14,201,0,0,0,0,0
e44604e71cda00f02b7d6c2474fc301d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4260,8455,0,0,0,0,0,0,2749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
9a93d2d8bf9ba7d0038d61152a66bf4c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619,0,0,0,0,0,0,0,0,0,0
018b566874a65c7bbfae689df36df736,0,0,0,1407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,148,0,0,0,1037,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,5169,0,0,0,0,0,0,0,2795,0,0,0,0,18,0,0,0,775,0,0,45,0,0,0,91,0,0,0,0,51,0,0,0,0,0,0,0,156,0,0,0,0,0,0,2039,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,924,0
da5a4b5b2430fddfa0cef92c02aede58,0,0,0,0,383,0,0,0,78,55,0,0,1199,0,0,0,62,0,0,0,121,0,0,0,0,0,0,0,33,0,0,24,0,38,0,0,127,0,0,0,0,0,0,0,203,0,0,0,301,0,0,0,69,0,0,0,106,295,0,0,672,521,0,0,510,170,0,0,452,0,0,0,879,0,0,0,171,0,0,0,121,111,0,0,40,0,0,0,100,0,0,0,169,0,0,5,104,29,0,0,455,9,0,0,1042,0,0,0,957,0,0,0,58,0,0,12,328,0,0,0,594,0,0,0,316,0,0,0,169,0,0,0,316,126,0,0,123,0,599,0,0,0,389,48,0,0,670,0,0,0,1230,0,0,0,737,0,0,0,0,0
f5bb8a19768e11990e200d3df14a17cc,124,0,0,0,310,0,0,0,34,0,0,7,534,0,0,0,258,0,0,0,434,0,0,5,84,0,0,0,75,0,0,10,6,0,0,6,228,46,0,3,38,0,0,0,260,0,0,0,261,9,0,17,62,0,0,0,192,13,0,0,241,0,0,7,851,514,0,0,439,0,0,0,185,0,0,7,670,0,0,0,259,7,0,0,445,59,0,0,792,0,0,0,292,0,0,7,119,0,0,0,157,0,0,16,826,61,0,0,33,0,0,8,403,6,0,5,23,0,0,0,472,0,0,3,233,0,0,0,0,38,0,0,1101,0,0,0,215,0,1309,7,0,0,1200,112,0,10,327,0,0,11,467,0,0,0,268,56,0,0,0,0
146dc7492cf2d543b20d66548ad911d1,228,8,0,0,454,180,0,0,80,2084,0,3,413,50,0,0,149,2,0,0,104,0,0,0,99,0,0,0,207,23,0,10,0,11,0,3,92,24,0,8,118,355,4,22,221,0,0,0,33,39,0,13,81,0,0,6,404,3312,0,0,17,54,0,0,103,231,0,4,341,0,0,0,26,5,0,8,48,0,0,3,22,0,0,0,21,24,0,0,126,0,0,0,105,20,0,6,266,123,0,0,643,43,0,0,94,7,0,0,20,0,0,0,239,0,0,0,0,0,0,0,0,0,0,8,71,5,0,2,33,23,0,3,146,0,0,0,650,37,1322,253,0,0,103,0,0,0,36,8,0,12,181,25,0,0,301,420,3,0,0,8
bfee8492fce0e41e0ded4c159ca04cb9,0,0,0,0,136,499,0,0,0,5490,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,45,5403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,1186,0,0,0,0,0,0,0,0
2eab391e7c80dd70a49acd04c56ce22c,0,0,0,1003,0,0,0,428,0,0,0,92,0,0,0,249,0,0,0,33,0,0,0,37,0,0,0,24,0,0,0,445,0,0,0,306,0,0,0,88,0,0,0,326,0,0,0,110,0,0,0,342,0,0,0,217,0,0,0,432,0,0,0,104,0,0,0,239,0,0,0,800,0,0,0,588,0,0,0,252,0,0,0,314,0,0,0,161,0,0,0,47,0,0,0,206,0,0,0,143,0,0,0,898,0,0,0,119,0,0,0,1127,0,0,0,1101,0,0,0,792,0,0,0,263,0,0,0,263,0,0,0,381,0,0,0,215,0,0,0,0,0,226,0,0,0,332,0,0,0,110,0,0,0,52,0,0,0,0,197,1550
b949254239112a026d0974352384060a,0,0,0,0,69,2875,0,0,0,1342,0,0,0,0,0,0,0,664,0,0,113,775,0,0,0,0,0,0,0,3142,0,0,0,0,0,0,0,0,0,0,0,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1019,0,0,0,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,2693,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
