,Kingdom,Phylum,Class,Order,Family,Genus,Species
21537dda923d06e0d2602720201aac77,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__unidentified
c77cd3c13f7194b9e1a5a4c0ae8fc028,k__Fungi,p__Ascomycota,NA,NA,NA,NA,NA
d74e936b273745db8a26aca51b71e0ef,k__Fungi,p__Basidiomycota,NA,NA,NA,NA,NA
94d7d560beece2dd6493f38015ff87f5,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Diaporthales,f__Diaporthaceae,g__Diaporthe,NA
d7b1a0fe31d777760d6f6d3392612da4,k__Fungi,p__unidentified,c__unidentified,o__unidentified,f__unidentified,g__unidentified,s__unidentified
a7c153826bc3d21843746c3b58a67128,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,f__unidentified,g__unidentified,s__unidentified
ea30e517cd8d861f0af2b81edbf03e73,k__Fungi,p__unidentified,c__unidentified,o__unidentified,f__unidentified,g__unidentified,s__unidentified
abb8fce7b6ec7a12e1f71e0a7e5d9089,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,NA,NA,NA
b35d25bbf671db18d1f6d5225deaacc1,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,NA,NA,NA
69437daad49f6fdf13fa4d16dfa0674e,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__unidentified,g__unidentified,s__unidentified
e55d90ff31a3eef178e9f488fa0a9bef,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Teratosphaeriaceae,NA,NA
e42c8d86cd3a44be9db971a291bcd99a,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Phaeomoniellales,f__Phaeomoniellaceae,NA,NA
e35ddbac27df011be15e7cc3648970df,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Mycosphaerellaceae,g__Ramularia,NA
3943d9a86592d0b7489f927d88f695cc,k__Fungi,p__Rozellomycota,c__unidentified,o__unidentified,f__unidentified,g__unidentified,s__unidentified
d854875b928392bf66a1bdd332d00788,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Teratosphaeriaceae,NA,NA
70a9bf90fb38e7200bc8d598b729459c,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pezizaceae,g__unidentified,s__unidentified
bd2e33da56fa141fbf84505d1ba673a7,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Caliciales,f__Caliciaceae,g__Pyxine,NA
abef2de161f08c8018ac736ac59c8005,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,NA,NA,NA
3e91dba4eba1b115033054798e8bf143,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Cuniculitremaceae,g__Kockovaella,NA
c39715ca0a9398ec056dff84969b50c9,k__Fungi,p__Basidiomycota,NA,NA,NA,NA,NA
5bd47b48daa7da982fa4c7726285c76e,k__Fungi,p__Ascomycota,c__Dothideomycetes,NA,NA,NA,NA
d671ccf35cb6cf90dd672bf4b7da359f,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,f__Sebacinaceae,g__Sebacina,s__unidentified
829af072ca825aa55e7ac6397d257ec0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__unidentified,g__unidentified,s__unidentified
02998f9dd0857593fc4fa851bfa93ab7,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__unidentified,g__unidentified,s__unidentified
a90be770023ad006c6a8a53af66ef49d,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,NA,NA,NA
cdf3186ab3796e2590a0fd957d60e0b7,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,NA,NA
656e1f7a3e734260169d563f36277762,k__Fungi,p__Basidiomycota,c__Exobasidiomycetes,o__Exobasidiales,f__Exobasidiaceae,g__Exobasidium,NA
2a0135477554423709734c36e64ea17f,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Erythrobasidiales,f__Erythrobasidiaceae,g__Erythrobasidium,s__unidentified
7ed355db38ac793a375b466defb13330,k__Fungi,p__Basidiomycota,c__Exobasidiomycetes,o__Exobasidiales,f__Exobasidiaceae,g__Exobasidium,NA
bc9c4144031cfd5c0ec60086d703e5f9,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,NA,NA,NA
eb05d55bc480da16692d71d76f3d9ca9,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,NA,NA,NA
b6e83e953fd30c90455e3056300fa81c,k__Fungi,NA,NA,NA,NA,NA,NA
6859fb3711b1c23a52eaa17df3de0dee,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,NA,NA
3240629bcfcfaf4df92efc3fbe5f727b,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Lentitheciaceae,NA,NA
05f0ee6a0286abd8bd7c0b88c626995d,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,s__unidentified
77c40de9acfb1c87bc9eac2b10ce3dd4,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Mycosphaerellaceae,NA,NA
072adfa3cebb2a65e4e5d68e0b5dbf76,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,NA,NA,NA
40bf64d5fa1810fa306330d74681ec45,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreaceae,g__Trichoderma,NA
f6f0d9ab747a1938379e69a4cb9959cf,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__unidentified,f__unidentified,g__unidentified,s__unidentified
12dec28e40541c1dd134c2aeff0b8a0e,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,NA
af5c2b1d498acaa20316123c227a80c1,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pezizaceae,g__unidentified,s__unidentified
50a0a211c8434232cbf2ced6f2f5d99d,k__Fungi,p__Ascomycota,NA,NA,NA,NA,NA
96be8b31700192243461390286a79a88,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Myriangiales,NA,NA,NA
95bdb13c1c72940bf8a3525b481645c5,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__unidentified,g__unidentified,s__unidentified
