,Kingdom,Phylum,Class,Order,Family,Genus,Species
49a702b57f99ba42a5c49033398639f4,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,NA,NA,NA
df3f87b47aa332d3feb2232d74d5d6e7,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__unidentified,g__unidentified,s__unidentified
bdffcd95c5aba86715144047d0364543,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__unidentified,g__unidentified,s__unidentified
508600e675717067732e51341d63bcc7,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__unidentified,f__unidentified,g__unidentified,s__unidentified
c5e120ae9bf3dd2eeb2e968afcbad613,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Mycosphaerellaceae,NA,NA
3b4a5dec69ef8638e0535757359f887b,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,s__Inocybe_mixtilis
e198ec51e67f31e2b02241ceebedffbd,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,NA,NA
44fb0122352e73572ff6069c26348ff4,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Xylariales_fam_Incertae_sedis,NA,NA
b12fdef7bc55ff2c8177bf77d3ac4ba8,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Cladosporiaceae,g__Cladosporium,NA
c0061ec3c96a6e98694c6e27791f8c21,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Chaetothyriales_fam_Incertae_sedis,g__Strelitziana,NA
78875c93b54447499c7d46ff427ffc30,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,NA,NA,NA
39df0d56d708761d72b1e695c4fa3a2a,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,f__Sebacinaceae,g__Sebacina,s__unidentified
4654a12d3dea9dae9804b2c3a6a47ab3,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,NA,NA,NA
9d37eff30ba3b877c18feae606f95172,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Teichosporaceae,g__Teichospora,NA
9868b2c0b849e2e9745e7c44e5bd97d2,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,NA,NA,NA
9af62b5fca6ed99afb5ce9b7fc2d5139,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__unidentified,g__unidentified,s__unidentified
f2f3a37a2d034609d1f9831b2be28786,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,NA,NA,NA
3dc4ca231b1f2c9043a1a8cdac23fdef,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,NA,NA,NA
f9a97ee8a2277187e5e93422e6d94594,k__Fungi,NA,NA,NA,NA,NA,NA
a41857aebee59613f53528f567b8fe53,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,g__Didymella,NA
81f62f137c282a06cf284be8cfc31d44,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,g__unidentified,s__unidentified
4763d2a761c9e9674c2cf2ad9557d99a,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideomycetes_ord_Incertae_sedis,f__Dothideomycetes_fam_Incertae_sedis,g__Peltaster,NA
c411605390f594f7bcdf650f6799b001,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,NA,NA,NA
7a75ffc092318097f4ab53ff1d31604d,k__Fungi,NA,NA,NA,NA,NA,NA
8fbea97a4b3f7dff8a9ffb79653b6aec,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__unidentified,g__unidentified,s__unidentified
30571afe824442e746d89aad4e5a45ea,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,g__Tomentella,NA
600b3d03c75ee653158d4e6c0aa7406d,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,NA,NA,NA
2c6bf1f4a82ab618a92366030252e5bf,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Mytilinidales,f__Gloniaceae,g__Cenococcum,s__Cenococcum_geophilum
1e2e029a5af2a273349579a244d0021b,k__Fungi,p__Basidiomycota,c__Microbotryomycetes,NA,NA,NA,NA
60bc03761c0ed450617b69300af853eb,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,NA,NA,NA
bba44b622a7d0fd2295436eeea71d73c,k__Fungi,p__Ascomycota,c__Dothideomycetes,NA,NA,NA,NA
48a0e4ba7296038e2864742ded1b1e2c,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,NA,NA,NA
08cff39425d14885758fb3ca545970e8,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__unidentified,g__unidentified,s__unidentified
2862a6030fec033b7d9686f23db25309,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,NA,NA,NA
8e57d7c1c6ebac2bf1363c987718f295,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Clavicipitaceae,NA,NA
80a38a15898204c8c43a20a151b0bd24,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymosphaeriaceae,g__Paraphaeosphaeria,NA
64bc0cd2303f6ad403f06a875f69e62d,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,NA,NA,NA
bc070f05ec5e86b8729620752717954d,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,NA,NA
4d15b76c6e2dc0a8c15ac0b066f7208e,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Teichosporaceae,g__Teichospora,NA
a8213b273e5af5afdd4b34e4e8b7a2b6,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,NA,NA,NA
db1e07198ed837eb1fe0d247b22c0035,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,NA,NA,NA
555e8d53edc1d00ee3d666da23742098,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Mytilinidales,f__Gloniaceae,g__Cenococcum,s__Cenococcum_geophilum
5fc8158f7b9eccc0d54084f57f6eacdc,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,NA,NA,NA
f18f84699181c79a1d3a9f18835d8187,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,NA,NA,NA
2deb23cee7ecb2719fef8b7563b5da79,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,NA
ab8d2f6abad4d08a0274bd4c8de7c416,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,NA,NA,NA
2b12cab6a03ebe1a1e62a5298fb875d3,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,NA,NA
dca2566b2c37247f347a5f435c356d76,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,NA,NA,NA
62fca9c085fccd65934479212becfff1,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,NA,NA
0878960952973ea3fb7a262813682888,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,NA,NA,NA
8811f91aac6d8b2e72ddb266d94883fb,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_oxysporum
abd0a7c9952d8710a12a9fe2cd4cffab,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,NA,NA,NA
5e0491edf147be59041eb39d3c1e5ca7,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,NA
d2138d1cee45185b8874fee308d8d5a2,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,NA,NA,NA
d69a366049fe535a58455a6118f5bfba,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,g__Pustularia,s__unidentified
cad5395c6fad2fab8c48b53d50b1de3c,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,s__Inocybe_mixtilis
72ccb548d06343e9020419130327fb03,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,NA,NA,NA
7fcda0a2983593a40dc5a97d4bb5bcd3,k__Fungi,p__Ascomycota,c__Leotiomycetes,NA,NA,NA,NA
3c391a9242684e5d158179ca8a6b127a,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,NA,NA
1c0a228d2d751800805eb3acb569ae96,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Tricholomataceae,g__Flagelloscypha,NA
c56ee3f8716f4e556b2399d0f5a494b5,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Trechisporales,NA,NA,NA
a18ff4b6acca010a0355199e42f5f99f,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Mytilinidales,f__Gloniaceae,g__Cenococcum,s__Cenococcum_geophilum
aae63be174c7322ea75846d22b10835e,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,s__unidentified
4a710d02f827b8fde5e299655d1cd347,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Mytilinidales,f__Gloniaceae,g__Cenococcum,s__Cenococcum_geophilum
0493770d44501b94cae60c003214ed33,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,s__unidentified
dc18999dd59ba0d75eb2c6bac44885dc,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,NA
d6a616608ba7276c14fa02472ca4cdc7,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,g__Trichophaea,s__unidentified
4d7ae1955cfe11a7e4bdb30ef46af92a,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,NA,NA
1fd3d8dbbeaaf1870ecabe90b9a2ae06,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Orbilia,s__unidentified
3f64d0d861d89aa4a4df220258a95ee7,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Tricholomataceae,g__Flagelloscypha,NA
bdc0ebc93afad84709ccef1cb2bd8fba,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,NA,NA,NA
1d01c2faab4cdf98600b507a2f35cd9b,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Tuberaceae,g__Tuber,s__unidentified
bbac86134e0bc004ecbe36fa87f07319,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,NA,NA,NA
409dd1eff9728faa88a8d26800a0f869,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Lophiostomataceae,NA,NA
ef796799dcc7e617e95cc3b2d4d8246d,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,g__Tomentella,s__unidentified
d23a55dd0c19dc909de81601851e4442,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Mytilinidales,f__Gloniaceae,g__Cenococcum,s__Cenococcum_geophilum
f9da3bcd58bfbdaaa22e20b0b3d2959c,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,g__unidentified,s__unidentified
6bfee3f984973b9523bae9b9c56af341,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,g__Trichophaea,s__unidentified
78de9a6be00d8ca13bb5f2a2526779e8,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,NA
c386f1d16d6837d62d8a1382690c8612,k__Fungi,NA,NA,NA,NA,NA,NA
e44604e71cda00f02b7d6c2474fc301d,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,s__Inocybe_mixtilis
9a93d2d8bf9ba7d0038d61152a66bf4c,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,g__Tomentella,s__unidentified
018b566874a65c7bbfae689df36df736,k__Fungi,p__Ascomycota,c__Leotiomycetes,NA,NA,NA,NA
da5a4b5b2430fddfa0cef92c02aede58,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Chaetothyriales_fam_Incertae_sedis,g__Strelitziana,NA
f5bb8a19768e11990e200d3df14a17cc,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Trichomeriaceae,NA,NA
146dc7492cf2d543b20d66548ad911d1,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,NA,NA,NA
bfee8492fce0e41e0ded4c159ca04cb9,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,NA,NA,NA
2eab391e7c80dd70a49acd04c56ce22c,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,NA
b949254239112a026d0974352384060a,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__unidentified,g__unidentified,s__unidentified
ef5bacb011ec80223d15883926857007,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,NA,NA,NA
de47616ef5d4d968c8dec0a449517ed1,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,NA
59baaef0f6a7fadfc26f232946a201e7,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,NA,NA,NA
4fd4ab332e0098a0a01cd382aa8a40e7,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Dissoconiaceae,g__Ramichloridium,NA
cfa3a1b7e8b6bbce1368a2c46d49042e,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,s__unidentified
b56df52a896a89dcc77edb725eb37bfe,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,s__unidentified
55a66effd5e9f2cf47d749b4b1d7004d,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,NA,NA,NA
925fe792939f3f48aaab48496c21cb84,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Ostropales,f__Stictidaceae,g__Cryptodiscus,NA
893b5c474338afc2558eb6c071f56c58,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Teratosphaeriaceae,NA,NA
d8a26dd90e40c46687317d97bd53c2bf,k__Fungi,p__Ascomycota,c__Leotiomycetes,NA,NA,NA,NA
3eef0fd4b4e3443b35ce402570aab21f,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__unidentified,f__unidentified,g__unidentified,s__unidentified
8c1a0ec7864e53284bd2d2936e5d9e25,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__unidentified,g__unidentified,s__unidentified
e0a5270fc926928e6aa127902356b2b1,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideomycetes_ord_Incertae_sedis,f__Dothideomycetes_fam_Incertae_sedis,g__Peltaster,NA
3300d5eebc3c6f8422a5d203319e1496,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pezizaceae,g__unidentified,s__unidentified
7577821e7269b60e3b88faed9447d1de,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,NA,NA,NA
d569354175517813a98013d6578fa2a3,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,NA,NA,NA
7ce739d54e0ed1d93a92d4ec8cc373da,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Cyphellophoraceae,g__Cyphellophora,NA
edea2347115e337bbf7ff3f0aa063912,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Tuberaceae,g__Tuber,s__unidentified
ccc3cf94f3cc9ac93ea2fc81ae03fd7d,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,s__Inocybe_mixtilis
ced7b9a00d5c9ad900135a1dcb07af6e,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,NA,NA,NA
3ba0b579309ab12f3494882a91d11efb,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,NA,NA,NA
743c1f814cd1d7810492c526e6ffb6ae,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,NA,NA,NA
8cbc09a09d2e1dc549e5280924e891b6,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,NA,NA
3629f7ba4d1ce6dee8380ec584d84646,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,NA,NA,NA
c330d9f4037c72e74504fe37a2ddc985,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,NA,NA,NA
492442915a933c0623a26c547d95f498,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Cyphellophoraceae,g__Cyphellophora,NA
82df8bdfd0f4ec00e50dccecbbcbc2e6,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,NA,NA
1f597c56c64c1ef484e63d764ed26632,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__unidentified,g__unidentified,s__unidentified
c30c11046bcdb4d5f62f4d2a7a6236eb,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Strophariaceae,g__Galerina,NA
249367ed0af9d6199bfa7e2fcba6399b,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,NA,NA,NA
ec2a302ad9fbf5a45d50a9d4417ed26d,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Erythrobasidiales,f__Erythrobasidiaceae,g__Erythrobasidium,s__unidentified
de0d5627511cc129a2e091988c2580a5,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,g__Tomentella,NA
df53fadacf0ebfccb07b11b501db5b20,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,NA,NA,NA
fe883f4785c00ebbb7d77f370bbdc0e3,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Alternaria,NA
01cda1cf8f813095eecbfa9c1fa94d7b,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Tuberaceae,g__Tuber,s__unidentified
66db43b2e0ea99820a59e6aa4a0d927c,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,NA,NA
7f3d081be057d1ee4fe83064caa45e1a,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,g__Tomentella,NA
4d4db89486fa70760b3a363393d694e6,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Myxotrichaceae,g__Oidiodendron,s__unidentified
e7b70629faf6c3735f9141da703dca3f,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Dictyosporiaceae,NA,NA
012485b0feb8c64b4f233e4a4258c210,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Chaetothyriales_fam_Incertae_sedis,g__Strelitziana,NA
3addc669339d551a3415f40f94510b34,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Cyphellophoraceae,g__Cyphellophora,NA
d2f328cbb05333ec77b2fff081f87051,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Mycosphaerellaceae,NA,NA
7f93441321bf34c1ba5048d462fce643,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Cladosporiaceae,g__Cladosporium,NA
cb582b5db418c53161ad0c7c2e7b1848,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Lachnum,NA
cb1dac2b597f01589eb044a717e49aae,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,NA,NA,NA
57763834fa2f0dd80c308a914b00cbb1,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,NA,NA,NA
e2653563ef5701c67961f01faf615ed4,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Xylariales_fam_Incertae_sedis,NA,NA
d8a5dce51f4fc926a18d7d1f7fbc3071,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Cladosporiaceae,g__Cladosporium,NA
45bd8cf22711a3e3ee4df5119d446689,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Cyphellophoraceae,g__Cyphellophora,NA
6d64a4c3047d00d0f1a76ae828e57090,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Lecanorales,f__Ramalinaceae,NA,NA
0d27490b79b07229ca369478388c5169,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,NA,NA,NA
29cf3699d0132ef37f1ac4f0497478c6,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreaceae,g__Trichoderma,NA
8e5aece3d3322dc01c711b7ff56a6180,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Strophariaceae,g__Galerina,NA
beaf42be1b04474dcc8217f377612bd7,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,NA,NA,NA
9df234b6e8da0d0c0091e2a1dd93c9f5,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Teichosporaceae,g__Teichospora,NA
7d41bb73dc9d894f51eb8ec3c045840c,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Massarinaceae,g__Helminthosporium,NA
f8bfcde0c05aa72bd71298620f6ae524,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,NA,NA,NA
adcd22f5a11eaee0aca977a36a35662a,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Cantharellales_fam_Incertae_sedis,g__Sistotrema,s__unidentified
e43a374d70b57f137cfad8e7f7c6435b,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pezizaceae,g__unidentified,s__unidentified
1bf4f84dea0d712f2878ad9ba9090688,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,NA,NA,NA
9eb113a5bbfdc07af19353f9ef408c5f,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__unidentified,g__unidentified,s__unidentified
e5954708912e680b47feda24474e3637,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Lachnum,NA
bf1f60867578fb6c0169caf5798b5786,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,NA,NA,NA
52114b02b66524e5fa76149df1d03f99,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Lecanorales,f__Ramalinaceae,NA,NA
f671adb07b756fef15a0c98d38f67710,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,NA
d0e1d242279f3f8d23804d92d7314a86,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,s__Inocybe_mixtilis
7f2719d3a61b697adab19b5d52e04a74,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,s__unidentified
47df5e1c3c5057eb760d4893e4645e79,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Mycosphaerellaceae,NA,NA
c950787867df30cd325188e4b9b4646a,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Tuberaceae,g__Tuber,NA
5ac46c3d706ff46e309b11f5b5515323,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,g__unidentified,s__unidentified
2cafcef643967f73f914f32214e1f42e,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,NA,NA,NA
c8568af885b9e0de1477c1ab608fe05f,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,g__unidentified,s__unidentified
c88b62ed46704111c7a377f0f0b871aa,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,NA,NA
aebdb5ec22f604c661d361005d73606a,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,f__Sebacinaceae,g__Sebacina,NA
99ee09571ff5719a44a923a3a8735dd7,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Lecanorales,f__Ramalinaceae,NA,NA
3f628d5fbcf921bdab9aa4fd79c64527,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,NA,NA,NA
c6b37816252103e5b8b90636dbea70ed,k__Fungi,p__Ascomycota,c__Sordariomycetes,NA,NA,NA,NA
e9daa3ec0e5bcd1a3b90d53eae229197,k__Fungi,p__Ascomycota,c__Dothideomycetes,NA,NA,NA,NA
0bf497bcc908f28cba5772b5c979eaa9,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,s__unidentified
e8be1293a8244a5344f838a67b32c159,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,NA,NA
9f27d95e29689801f7d0dee3b2cde9f5,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Cladophialophora,NA
bd1867f3178771b33285e5800b1521e1,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Orbilia,s__Orbilia_hesperidea
4e8bdfbe1a4be87246f8321cb1f146a4,k__Fungi,p__Ascomycota,c__Taphrinomycetes,o__Taphrinales,f__Taphrinaceae,g__Taphrina,NA
7c16e9b7e587efbffcdfe61bf0b3840f,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Teichosporaceae,g__Teichospora,NA
2a80d047cfc3a2fe5511396c5530f3c9,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,NA,NA
8c816b82452d52fb42d0338cc1a5d1b6,k__Fungi,p__Basidiomycota,NA,NA,NA,NA,NA
9ba47e5f7156ccd725ce83a658cc5144,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,NA,NA,NA
1bf6dd898bb6095210761fb599b12dab,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,NA,NA
e589fda5874e53412d4ba7ec0f72c56f,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,NA,NA,NA
2356e64edf606373e1a5c9300ba47edd,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,NA,NA
4bda639d85912c1ccbc0270845e109b4,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Lophiostomataceae,NA,NA
c287edadeda51a1762254a4f87841bbf,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,g__unidentified,s__unidentified
